pk_energy,report_id,location_id,location_name,active,country,bu_rc_id,bu_rc_name,fiscal_year,fiscal_quarter,status,energy_classification,media_type,amount_consumed_mwh,renewable_energy,share_renewable,amount_consumed_gj,co2_factor,co2e_t,costs,primary_energy_remark,secondary_energy_remark,source_last_updated,load_date
5b2285addd00290ac1f149e9489bb7cd,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,Approved,Secondary Energy,Electricity,2760.42,446.373,16.170474,9937.512,0.3759,1037.6419,442158.85,Extrapolated from previous quarter.,,2021-11-01 00:00:00,2026-07-10 08:00:00.000
5f6fa4cc9dcb7abf18323ff938d6a2db,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,In Work,Primary Energy,Natural Gas,1260.041,0.0,0.0,4536.148,0.2009,253.1422,96046.79,Verified by local energy manager.,,2021-11-01 00:00:00,2026-07-10 08:00:00.000
7621243dbb03d241696c57d4391f5c21,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,Approved,Secondary Energy,District Cooling,160.829,0.0,0.0,578.984,0.099,15.9221,12101.09,,,2021-11-01 00:00:00,2026-07-10 08:00:00.000
2b71f1ae8d4d00bb5620163fcebe6dba,1000,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q1,Approved,Secondary Energy,District Heating,355.614,0.0,0.0,1280.21,0.1729,61.4857,30721.87,Provisional; final invoice pending.,,2021-11-01 00:00:00,2026-07-10 08:00:00.000
29a17e776916363aa27316611d0c02af,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,Approved,Secondary Energy,Electricity,2050.083,753.365,36.748024,7380.299,0.3884,796.2522,300067.66,Estimate based on floor area.,,2022-02-01 00:00:00,2026-07-10 08:00:00.000
eda536c20b30ba6cc8860a7c6c132582,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,In Work,Primary Energy,Natural Gas,869.74,0.0,0.0,3131.064,0.1869,162.5544,73075.34,Meter reading confirmed.,,2022-02-01 00:00:00,2026-07-10 08:00:00.000
be20cc63bbfcc55eef834aa5fbbf5968,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,Approved,Secondary Energy,District Cooling,114.008,0.0,0.0,410.429,0.0965,11.0018,8646.5,Based on smart meter export.,,2022-02-01 00:00:00,2026-07-10 08:00:00.000
d3a4c84a38fada3880e4e56de0c2e524,1001,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q2,Approved,Secondary Energy,District Heating,247.527,0.0,0.0,891.097,0.1719,42.5499,20830.65,Extrapolated from previous quarter.,,2022-02-01 00:00:00,2026-07-10 08:00:00.000
a2834e6487740979a1a6b0bcd2aeaf11,1002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q3,Approved,Secondary Energy,Electricity,1890.687,725.122,38.352303,6806.473,0.3816,721.4862,292967.1,Meter reading confirmed.,,2022-05-01 00:00:00,2026-07-10 08:00:00.000
75cf9f7cfb6872eeb20dc9e632aabf85,1002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q3,Approved,Primary Energy,Natural Gas,857.277,0.0,0.0,3086.197,0.1979,169.6551,58772.74,Provisional; final invoice pending.,,2022-05-01 00:00:00,2026-07-10 08:00:00.000
9082cd43b12fd1b86bdae9c7f9d58de3,1002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q3,Approved,Secondary Energy,District Cooling,114.666,0.0,0.0,412.798,0.0989,11.3405,8879.01,Based on smart meter export.,,2022-05-01 00:00:00,2026-07-10 08:00:00.000
66e35bba5930d8fb84d96c65bbe820c3,1002,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q3,Approved,Secondary Energy,District Heating,225.441,0.0,0.0,811.588,0.174,39.2267,22801.59,Data sourced from utility invoice.,,2022-05-01 00:00:00,2026-07-10 08:00:00.000
c10e31840f17dbef57a40230ba6a72b6,1003,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q4,Approved,Secondary Energy,Electricity,2246.155,711.821,31.690645,8086.158,0.3893,874.4281,334963.13,Provisional; final invoice pending.,,2022-08-01 00:00:00,2026-07-10 08:00:00.000
9e9109afb0e6ebfa551a56e1d42410e4,1003,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q4,Approved,Primary Energy,Natural Gas,992.973,0.0,0.0,3574.703,0.1922,190.8494,77292.6,Extrapolated from previous quarter.,,2022-08-01 00:00:00,2026-07-10 08:00:00.000
9bc5a2ca0b24d99a7272fdf5cd759f47,1003,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q4,Approved,Secondary Energy,District Cooling,116.168,0.0,0.0,418.205,0.0934,10.8501,7731.99,Extrapolated from previous quarter.,Supplier guarantee of origin applied.,2022-08-01 00:00:00,2026-07-10 08:00:00.000
2bd6c526ea1b40006a66d5276d23c6ea,1003,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2022,Q4,Approved,Secondary Energy,District Heating,271.679,0.0,0.0,978.044,0.1662,45.153,28108.58,Reviewed and approved by site controller.,,2022-08-01 00:00:00,2026-07-10 08:00:00.000
99af1e5c36e5277a1ffa0012d166c9dc,1004,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q1,Approved,Secondary Energy,Electricity,2685.492,199.731,7.437408,9667.771,0.3965,1064.7976,359076.84,Extrapolated from previous quarter.,,2022-11-01 00:00:00,2026-07-10 08:00:00.000
7478caff54096c02da16af0fc9d8b63c,1004,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q1,Approved,Primary Energy,Natural Gas,1063.084,0.0,0.0,3827.102,0.2086,221.7593,93530.88,Extrapolated from previous quarter.,,2022-11-01 00:00:00,2026-07-10 08:00:00.000
748213ce487a8b9ef66d91f1ece791f4,1004,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q1,Approved,Secondary Energy,District Cooling,149.494,0.0,0.0,538.178,0.1037,15.5025,12009.28,,,2022-11-01 00:00:00,2026-07-10 08:00:00.000
a6b4c42fb7eccd33f04b60d750a30850,1004,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q1,Approved,Secondary Energy,District Heating,344.422,0.0,0.0,1239.919,0.1882,64.8202,29308.53,Estimate based on floor area.,,2022-11-01 00:00:00,2026-07-10 08:00:00.000
a7547300d547d713b598f405b3dfc9e0,1005,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q2,Approved,Secondary Energy,Electricity,1927.816,627.721,32.561251,6940.138,0.3865,745.1009,317984.39,Reviewed and approved by site controller.,,2023-02-01 00:00:00,2026-07-10 08:00:00.000
0e2db191b13e15671ba8a77531cbf0a4,1005,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q2,Approved,Primary Energy,Natural Gas,896.082,0.0,0.0,3225.895,0.2142,191.9408,80139.07,Estimate based on floor area.,,2023-02-01 00:00:00,2026-07-10 08:00:00.000
0f5dab712c76df6651b443d902078afa,1005,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q2,Approved,Secondary Energy,District Cooling,116.153,0.0,0.0,418.151,0.0931,10.8138,7075.8,Extrapolated from previous quarter.,,2023-02-01 00:00:00,2026-07-10 08:00:00.000
32a67f33c91f6d0f3aabb75f3bab21c6,1005,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q2,Approved,Secondary Energy,District Heating,259.517,0.0,0.0,934.261,0.1633,42.3791,25620.67,Verified by local energy manager.,Scope 2 allocation applied.,2023-02-01 00:00:00,2026-07-10 08:00:00.000
d2b6e05030f35cd8b4f6c88c9594f34e,1006,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q3,Approved,Secondary Energy,Electricity,1856.547,153.099,8.246438,6683.569,0.3815,708.2727,269666.55,Based on smart meter export.,,2023-05-01 00:00:00,2026-07-10 08:00:00.000
5e2e1a2de6a600319ebfc5f48ddfa101,1006,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q3,Approved,Primary Energy,Natural Gas,835.03,0.0,0.0,3006.108,0.2022,168.8431,66094.55,Estimate based on floor area.,Scope 2 allocation applied.,2023-05-01 00:00:00,2026-07-10 08:00:00.000
766b1feedbf5d5267b1aced46f8aeb65,1006,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q3,Approved,Secondary Energy,District Cooling,96.519,0.0,0.0,347.468,0.0924,8.9184,6100.21,Verified by local energy manager.,,2023-05-01 00:00:00,2026-07-10 08:00:00.000
71b0c32fef378aed31d0eb5f89ad9ddb,1006,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q3,Approved,Secondary Energy,District Heating,232.246,0.0,0.0,836.086,0.1669,38.7619,20580.64,Based on smart meter export.,,2023-05-01 00:00:00,2026-07-10 08:00:00.000
9a400ff38f9f3baa05e76c67689de2be,1007,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q4,Approved,Secondary Energy,Electricity,1975.737,251.47,12.727909,7112.653,0.3942,778.8355,310236.79,Meter reading confirmed.,,2023-08-01 00:00:00,2026-07-10 08:00:00.000
e118f7f44856cb9785373f13ad6b806f,1007,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q4,Approved,Primary Energy,Natural Gas,976.383,0.0,0.0,3514.979,0.2153,210.2153,67016.85,Provisional; final invoice pending.,,2023-08-01 00:00:00,2026-07-10 08:00:00.000
5ac64462c68159533c9cd98d2a5a9967,1007,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q4,Approved,Secondary Energy,District Cooling,120.025,0.0,0.0,432.09,0.0952,11.4264,9051.82,Meter reading confirmed.,,2023-08-01 00:00:00,2026-07-10 08:00:00.000
94457a820a75dcf8d814a6a319cf8361,1007,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2023,Q4,Approved,Secondary Energy,District Heating,258.775,0.0,0.0,931.59,0.1808,46.7865,23737.58,Data sourced from utility invoice.,Market-based method used.,2023-08-01 00:00:00,2026-07-10 08:00:00.000
cf3b40cb5f25db4e8d228bc8567139ad,1008,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q1,Approved,Secondary Energy,Electricity,2622.088,288.918,11.018623,9439.517,0.395,1035.7248,439361.99,Verified by local energy manager.,,2023-11-01 00:00:00,2026-07-10 08:00:00.000
adea5840737a8fc938d6141b4bca7d50,1008,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q1,Approved,Primary Energy,Natural Gas,1111.527,0.0,0.0,4001.497,0.1842,204.7433,91210.25,Meter reading confirmed.,Grid factor from national registry.,2023-11-01 00:00:00,2026-07-10 08:00:00.000
671bbe1d4d3e6542d50e737110a22ac2,1008,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q1,Approved,Secondary Energy,District Cooling,148.082,0.0,0.0,533.095,0.0941,13.9345,9358.62,Provisional; final invoice pending.,,2023-11-01 00:00:00,2026-07-10 08:00:00.000
e1af04931281d5897a425055f1849a61,1008,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q1,Approved,Secondary Energy,District Heating,321.298,0.0,0.0,1156.673,0.164,52.6929,26876.51,Based on smart meter export.,Supplier guarantee of origin applied.,2023-11-01 00:00:00,2026-07-10 08:00:00.000
9964d3240fb562f6180c66e7931792ca,1009,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q2,Approved,Secondary Energy,Electricity,1900.932,171.776,9.03641,6843.355,0.3648,693.46,295367.99,Reviewed and approved by site controller.,,2024-02-01 00:00:00,2026-07-10 08:00:00.000
d6656709c08050880edcfd71fc04e076,1009,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q2,Approved,Primary Energy,Natural Gas,925.819,0.0,0.0,3332.948,0.2149,198.9585,85101.52,Extrapolated from previous quarter.,,2024-02-01 00:00:00,2026-07-10 08:00:00.000
99161442ecf7a63e81a14de3c51732da,1009,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q2,Approved,Secondary Energy,District Cooling,124.514,0.0,0.0,448.25,0.1015,12.6382,7853.99,,,2024-02-01 00:00:00,2026-07-10 08:00:00.000
b3979d869203b3183a4e108c8d6b608e,1009,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q2,Approved,Secondary Energy,District Heating,255.334,0.0,0.0,919.202,0.197,50.3008,22273.6,Estimate based on floor area.,Grid factor from national registry.,2024-02-01 00:00:00,2026-07-10 08:00:00.000
ef221cd978db2c1a290004f00b2e3cb3,1010,1,Synthetic Site 001,True,DE,3001,SI_D_DI,2024,Q3,Approved,Secondary Energy,Electricity,1921.152,492.326,25.626603,6916.147,0.3649,701.0284,275954.8,Meter reading confirmed.,,2024-05-01 00:00:00,2026-07-10 08:00:00.000
